"number","name","cmt","desc","symbol","url","Latitude","Longitude"
4765,"Linnansaari, Perpulanluhta ","Outhouse toilet,  Campfire site, Buoys","National park ","naturharbor","https://drive.google.com/open?id=1sPnjOVGVxQFk--qvyujOtZDnUT79t5Uyiw","62.116874","28.480817"
4757,"Linnansaari, Sammakkoniemi","Outhouse toilet,  Barbecue shelter, Campfire site,  Landing stage, (2) Sauna",",  kioski Info (MH)","resort","https://drive.google.com/open?id=1O9bEVZ_3pQA4aaJPoRqEP0cCbwn61FSlGw","62.101426","28.516259"
4763,"Linnanssaari, Linnavuori","Outhouse toilet,  Landing stage","National park ","guestharbor",,"62.114445","28.473178"
4692,"Linnasaari","Outhouse toilet,  Barbecue shelter","(signposts Hummonselältä)","naturharbor",,"62.005000","29.618333"
,"Linnasaari, Kamarluoto",,,"naturharbor",,"62.100522","28.520679"
,"Linnasaari, Laivalatun",,,"pier",,"62.099930","28.512611"
4460,"Linnavuori (Rinteenmäki)","Waste disposal,  Outhouse toilet,  Barbecue shelter, Landing stage,  ","(PSS) ancient castle remains","ancient","https://drive.google.com/open?id=17WEsW-9aD1ARMOb7U849hScq2kvSlBuaIQ","61.752251 28.319734","28.471455"
,"Linnavuori (Linnasaari)",,,"view","https://drive.google.com/open?id=1BkGNg3v_1lB1VK-81xOhsQDkxEuAvvo_IQ","62.116342","28.471455"
5536,"Liperi kirkkoranta","Slip, Cafe, Septic, Fuel for carrying,",,"marina",,"62.526750","29.388556"
4115,"Lisitinki","Waste disposal,  Outhouse toilet,  Campfire site, ","(PSS)","naturharbor",,"61.211667","28.336667"
4468,"Lohilahti","Service, Slip, Fuel for carrying, Grocery, Restaurant, Sauna,",,"marina","https://photos.google.com/share/AF1QipMBwRB5UnurPg5I0t-_BVvMbqoqhqn2dCCUfBRF8ojCo0PYwD3RUObTxhN4biKqOA/photo/AF1QipOXMWBU9d1y2IjIucIfWObm9VsQGrA11mUOjnlT?key=aXhxNEZBSWRjOE9sNHN3RUdmaUVjUFJfeTc5UE1n","61.610785","28.694544"
5444,"Lohilahti (Käkövesi)","Outhouse toilet,  Campfire site,  ","National park , mv-Kielto ","naturharbor",,"62.210000","28.920000"
,"Loma Autio",,,"pier",,"61.604102","28.383451"
,"Lomakoli","Beds, Camping, Cottages,",,"resort",,"63.161036","29.840157"
4568,"Lomaniemi","Grocery,",,"beach",,"61.603901","29.222137"
4744,"Louhisaari","Outhouse toilet,  Campfire site, ","National park ","naturharbor",,"62.078333","28.605000"
5392,"Luhtakannansaari ","Outhouse toilet,  Campfire site,  ","(Metsähallitus) ","naturharbor",,"62.463333","28.730000"
5350,"Lukonlahti","Slip, Fuel for carrying,",,"pier",,"62.922853","28.680227"
5315,"Luotsalo",,,"naturharbor",,"62.603731","28.762303"
,"Lusto",,"Forest grab museum","museum",,"61.799224","29.322087"
5315,"Luutsalo ","Waste disposal,  Outhouse toilet,  Campfire site,",,"naturharbor",,"62.580000","28.446667"
4270,"Lyökinniemi","Outhouse toilet,  Campfire site, ","(PSS) Vuolteen kanava","naturharbor",,"61.455000","27.753333"
5007,"Maaninka","Grocery, Cafe, Fuel by carrying, Septic,",,"marina",,"63.158048","27.292667"
,"Majalahti","Cafe, WC Shovers,"," always close","marina",,"62.894603","27.695256"
4624,"Mäkrä, Sepänniemi","Outhouse toilet,  Campfire site,  Landing stage,",,"naturharbor",,"61.841667","29.401667"
4300,"Makutsaari","Waste disposal,  Outhouse toilet,  Barbecue shelter,  Landing stage,  ","(PSS)","guestharbor","https://drive.google.com/open?id=1BKZprqUfeZGaSLkpAzlivNgkhn2MPkwLiA","61.623388","27.792905"
,"Mälkiä","No facilities.","Saima shanel museum. ","pier","https://drive.google.com/open?id=1Bxzm68hBXf1mnbypkr49Ys2PbJu8Lmr-VQ","61.072850","28.302472"
4450,"Mannilanniemi",,,"pier",,"61.667227","28.258215"
